PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
Yadgiri-Warangal (NH-163) Four Laning Highway Project,Substantial Expansion,18900,Completed,"Engineering, Procurement & Construction",December 2020,Warangal,Telangana,01 Sep 2010,Date of announcement,2020-12-21,18900,9570,9330,Y,2020-12-21,Completed,2018-11-30,Y,752,2015-12-10
Gagaria (NH-25)-Baori Kalan-Serwa-Lakdassar-Bakhasar section (NH-925) & Sata-Gandhav section (NH-925 A) Two Lane Highway Project,Substantial Expansion,11038.8,Completed,"Engineering, Procurement & Construction",December 2020,Bawri kalan (baori kallan),Rajasthan,05 Apr 2015,Date of announcement,2019-02-28,11038.8,6250,4788.8,Y,2020-12-24,Completed,2020-09-30,Y,85,2018-02-26
Chichra-Kharagpur (NH-6) Four Laning Highway Project,Substantial Expansion,11220.5,Completed,"Engineering, Procurement & Construction",June 2020,Chichra,West Bengal,01 Jul 2013,Date of announcement,2017-10-31,11220.5,7696.3,3524.2,Y,2020-12-31,Initial completion date,2019-09-12,Y,476,2016-09-24
Edappally-Kundanoor Elevated Highway Project,New Unit,5230.6,Completed,Build Operate Transfer,January 2021,Edapally,Kerala,26 Feb 2010,Date of announcement,2013-11-05,5230.6,16000,-10769.4,N,2021-01-09,Completed,2013-03-31,Y,2841,2013-05-28
Alappuzha Bypass Project,New Unit,3440,Completed,"Engineering, Procurement & Construction",January 2021,Alappuzha,Kerala,30 Dec 1980,Date of announcement,2021-01-21,3440,1570,1870,Y,2021-01-28,Completed,2013-08-31,Y,2707,2015-02-12
Ranichak Four Lane ROB-cum-Flyover Project (Bharatmala),New Unit,1280,Completed,"Engineering, Procurement & Construction",February 2021,Ranichak,West Bengal,15 Mar 2013,Date of announcement,2017-04-30,1280,1889.8,-609.8,N,2021-02-07,Completed,2018-11-30,Y,800,2016-02-01
Chinchbhuvan-Khapri Four Lane Railway Over Bridge Project (on Wardha Road),Substantial Expansion,709.8,Completed,"Engineering, Procurement & Construction",February 2021,Chinchbhuvan,Maharashtra,15 Mar 2014,Date of announcement,2021-02-14,709.8,400,309.8,Y,2021-02-14,Completed,2018-09-30,Y,868,2017-01-18
Barhi-Hazaribagh (NH-33) Four-Laning Highway Project,Substantial Expansion,5000,Completed,"Engineering, Procurement & Construction",February 2021,Barhi,Jharkhand,30 Dec 2009,Date of announcement,2020-06-13,5000,4143.4,856.6,Y,2021-02-18,Completed,2014-02-28,Y,2547,2010-05-31
Upgradation of Old NH-6 (NH-53) Four Lane Highway Project (Khamgaon City),Substantial Expansion,522.5,Completed,"Engineering, Procurement & Construction",February 2021,Khamgaon,Maharashtra,18 Dec 2017,Date of announcement,2018-10-12,522.5,706.8,-184.3,N,2021-02-18,Completed,2019-08-27,Y,541,2018-05-31
Gadu-Porbandar (NH-8E) Two/Four lane Highway Project,Substantial Expansion,5120,Completed,Hybrid Annuity,February 2021,Dwarka,Gujarat,23 May 2012,Date of announcement,2017-10-31,5120,4019.5,1100.5,Y,2021-02-18,Completed,2015-09-30,Y,1968,2016-12-15
Giddalur-Vinukonda (NH-544D) Two Lane Highway Project (Bharatmala),Substantial Expansion,9256,Completed,Hybrid Annuity,February 2021,Giddalur,Andhra Pradesh,20 Dec 2017,Date of announcement,2021-02-18,9256,5650.9,3605.1,Y,2021-02-28,Initial completion date,2021-02-04,N,,2018-03-26
Biharsharif-Barbigha-Mokama (NH-82) Two Laning Road Project,New Unit,5097.5,Completed,"Engineering, Procurement & Construction",March 2021,Biharsharif,Bihar,22 Nov 2010,Date of announcement,2020-04-30,5097.5,3040,2057.5,Y,2021-03-23,Completed,2019-04-30,Y,693,2015-08-30
Mubarakpur-Biaora (NH-12) (New NH-46) Four-Laning Road Project  (Package-II of Bhopal-Biaora),Substantial Expansion,8970,Completed,"Engineering, Procurement & Construction",January 2021,Bhopal,Madhya Pradesh,12 Aug 2010,Date of announcement,2021-01-12,8970,6980,1990,Y,2021-03-31,Initial completion date,2016-10-31,Y,1612,2012-01-10
Islampur Four Lane Bypass (NH-31) Project,Substantial Expansion,3050,Completed,"Engineering, Procurement & Construction",March 2021,Islampur,West Bengal,15 Dec 2004,Date of announcement,2018-01-31,3050,2384.7,665.3,Y,2021-03-31,Completed,2018-01-31,Y,1155,2015-10-23
Laddowal Four Lane Bypass Project,New Unit,3900,Completed,Hybrid Annuity,March 2021,Laddowal,Punjab,02 Jun 2010,Date of announcement,2021-03-31,3900,3701.7,198.3,Y,2021-03-31,Completed,2018-09-30,Y,913,2016-05-18
"Chandigarh (Balongi)-Kharar Section (NH-21), (NH-205 & 05) Four Laning Highway Project (Part of Chandigarh-Ludhiana Highway)",Substantial Expansion,7463.8,Completed,Design Build Finance Operate Transfer,April 2021,Chandigarh,Chandigarh,01 Sep 2005,Date of announcement,2016-09-12,7463.8,4472.9,2990.9,Y,2021-04-29,Completed,2018-09-30,Y,942,2015-10-26
Nandigama and Kanchikacherla (NH-65) Six Lane Bypass Project,Substantial Expansion,4250,Completed,"Engineering, Procurement & Construction",April 2021,Kanchikacherla,Andhra Pradesh,28 Sep 2017,Date of announcement,2021-04-29,4250,3286.7,963.3,Y,2021-04-29,Completed,2019-06-30,Y,669,2017-12-27
Chilodha-Naroda Six Laning Highway Project (Package-VII) (Kishangarh-Ahmadabad),Substantial Expansion,2907.3,Completed,"Engineering, Procurement & Construction",May 2021,Chiloda,Gujarat,01 Jan 2012,Date of announcement,2016-11-15,2907.3,2907.3,0,N,2021-05-13,Completed,2019-05-31,Y,713,2016-11-15
lchhapuram-Narasannapeta (NH-16) Six Laning Highway Project (Package-I),Substantial Expansion,5767.8,Completed,"Engineering, Procurement & Construction",May 2021,Ichapuram,Andhra Pradesh,01 Jan 2017,Date of announcement,2021-05-13,5767.8,5573,194.8,Y,2021-05-13,Completed,2020-11-01,Y,193,2018-03-23
Khajuwala-Poogal section and Poogal-Dantour-Jaggasar-Gokul-Goddu-Ranjeetpura-Charanwala-Naukh-Bap section of (NH-911) Two/Four Lane Highway Project,Substantial Expansion,8950,Completed,Hybrid Annuity,February 2021,Bap (baap),Rajasthan,02 Jan 2018,Date of announcement,2018-04-05,8950,8570,380,Y,2021-05-21,Initial completion date,2021-02-18,Y,92,2018-03-27
Hinganghat-Nandgaon Junction (NH-44) Flyover Project,New Unit,860,Completed,"Engineering, Procurement & Construction",June 2021,Hinganghat,Maharashtra,24 Oct 2018,Date of announcement,2021-06-17,860,665.6,194.4,Y,2021-06-17,Completed,2020-12-03,Y,196,2018-10-24
Munabao (NH-25)-Sundra-Myajlar-Dhanana-Asutar-Ghotaru-Tanot-Kishangarh (Indo-Pak Boarder) Two/Four Laning Highway Project (BM/4) (Bharatmala),Substantial Expansion,16840,Completed,Hybrid Annuity,August 2020,Dhanana,Rajasthan,05 Apr 2015,Date of announcement,2020-08-21,16840,13750,3090,Y,2021-06-28,Initial completion date,2020-05-31,Y,393,2018-03-26
Seoni-MP/MH Border (NH-7) (Delinked Stretch) Four Laning Highway Project,Substantial Expansion,9602.4,Completed,"Engineering, Procurement & Construction",February 2021,Seoni,Madhya Pradesh,30 Apr 2016,Date of announcement,2019-08-31,9602.4,5668,3934.4,Y,2021-06-30,Initial completion date,2020-08-08,Y,326,2018-01-18
Parwanoo-Solan (NH-5) (Parwanoo-Shimla Package-I) Two/Four Lane Highway Project,Substantial Expansion,13030,Completed,"Engineering, Procurement & Construction",June 2021,Kumarhatti,Himachal Pradesh,10 Feb 2009,Date of announcement,2021-06-24,13030,6905.6,6124.4,Y,2021-06-30,Initial completion date,2018-03-31,Y,1187,2015-03-30
Kamrej-Chaltan (NH-8) Six Laning Highway Project,Substantial Expansion,4256,Completed,"Engineering, Procurement & Construction",March 2021,Chalthan,Gujarat,15 Jan 2011,Date of announcement,2016-06-16,4256,2994.4,1261.6,Y,2021-06-30,Initial completion date,2019-03-31,Y,822,2016-05-18
Khandagiri Chowk (NH-16) Grade Separator Project,New Unit,1156.3,Completed,"Engineering, Procurement & Construction",May 2021,Khandagiri square,Odisha,06 Jun 2016,Date of announcement,2018-12-24,1156.3,150,1006.3,Y,2021-07-31,Initial completion date,2019-11-30,Y,609,2017-10-30
Ghoshpukur-Salsalabari (Dhupguri) (NH-31D) Four Lane Highway Project (Package-I),Substantial Expansion,17550,Completed,"Engineering, Procurement & Construction",August 2021,Falakata,West Bengal,01 Dec 2009,Date of announcement,2017-10-31,17550,11350,6200,Y,2021-08-05,Completed,2013-06-30,Y,2958,2015-06-01
Pimpalkutti Two Lane ROB (on Nagpur-Hyderabad NH-44 & NH-7) Project,New Unit,162,Completed,"Engineering, Procurement & Construction",August 2021,Pimpalkutti,Maharashtra,13 May 2017,Date of announcement,2021-02-09,162,141.5,20.5,Y,2021-08-05,Completed,2019-11-24,Y,620,2017-09-14
Binjhabahal-Telebani (NH-49) Four Laning Highway Project,Substantial Expansion,11614,Completed,Hybrid Annuity,August 2021,Binjhabahal,Odisha,19 Nov 2013,Date of announcement,2017-10-31,11614,8588.4,3025.6,Y,2021-08-05,Completed,2020-07-31,Y,370,2016-10-13
Davanagere-Haveri Six Laning Highway (NH-48) Project,New Unit,11770,Completed,Hybrid Annuity,August 2021,Davanagere,Karnataka,01 Dec 2016,Date of announcement,2017-03-29,11770,8363.9,3406.1,Y,2021-10-30,Initial completion date,2020-03-31,Y,578,2017-03-29
"Pimpalgaon-Nashik-Gonde (NH-3,60&160) Six-Laning Highway Project",Substantial Expansion,16910,Completed,"Engineering, Procurement & Construction",October 2021,Gonde,Maharashtra,31 Mar 2005,Date of announcement,2016-02-28,16910,7520,9390,Y,2021-10-30,Completed,2012-07-31,Y,3378,2009-01-15
Jind-Mundhal-Bhiwani (NH-709A) Two Lane Highway Project,Substantial Expansion,1830,Completed,"Engineering, Procurement & Construction",November 2021,Bhiwani,Haryana,01 Dec 2001,Date of announcement,2021-03-25,1830,96.5,1733.5,Y,2021-11-30,Completed,2019-12-31,Y,700,2018-03-20
Dagmagpur-Lalganj (NH-35) Four Lane Highway Project (Package-II),Substantial Expansion,14940,Completed,"Engineering, Procurement & Construction",December 2021,Dagmagpur,Uttar Pradesh,01 Apr 2016,Date of announcement,2021-12-20,14940,9631.1,5308.9,Y,2021-12-20,Completed,2020-09-30,Y,446,2018-03-13
Lalganj-Hanumanha (NH-135) Four Lane Highway Project (Package-III),Substantial Expansion,12850,Completed,"Engineering, Procurement & Construction",December 2021,Hanumanha,Uttar Pradesh,01 Apr 2016,Date of announcement,2021-12-20,12850,8708.7,4141.3,Y,2021-12-20,Completed,2020-09-30,Y,446,2018-03-22
Nagina-Kashipur (NH-74) Four Lane Highway Project,Substantial Expansion,25360,Completed,"Engineering, Procurement & Construction",December 2021,Kashipur,Uttarakhand,15 Dec 2009,Date of announcement,2021-12-30,25360,10930,14430,Y,2021-12-30,Completed,2020-04-30,Y,609,2016-03-31
Raipur-Simga (NH-30) Four/Six Laning Highway (Package-I of Raipur-Bilaspur) Project,New Unit,7667,Completed,"Engineering, Procurement & Construction",January 2022,Bilaspur,Chhattisgarh,14 Oct 2009,Date of announcement,2018-03-31,7667,19638.8,-11971.8,N,2022-01-04,Completed,2015-01-30,Y,2531,2012-01-30
Varanasi-Gorakhpur (NH-29) Four Laning Highway (Package-II from Sandah-Birnon) Project,Substantial Expansion,34218.4,Completed,"Engineering, Procurement & Construction",January 2022,Birnon village,Uttar Pradesh,15 Sep 2014,Date of announcement,2021-08-05,34218.4,17031.6,17186.8,Y,2022-01-04,Completed,2019-05-31,Y,949,2016-03-31
Saoner-Dhapewada-Kalmeshwar-Gondkhairi (NH-547E) Four Lane Highway Project,Substantial Expansion,7200,Completed,"Engineering, Procurement & Construction",January 2022,Dhapewada,Maharashtra,01 Apr 2016,Date of announcement,2022-01-15,7200,4800.6,2399.4,Y,2022-01-23,Initial completion date,2021-03-31,Y,298,2019-03-11
Aurangabad-Telwadi (NH-52) Four-Laning Highway Project,Substantial Expansion,30620,Completed,"Engineering, Procurement & Construction",January 2022,Aurangabad (mah),Maharashtra,15 Jul 2010,Date of announcement,2022-01-31,30620,12521.9,18098.1,Y,2022-01-31,Completed,2021-08-10,Y,174,2018-02-01
Jharpokharia-Baripada-Baleshwar (NH-5) Four Laning Highway Project,Substantial Expansion,10696.5,Completed,"Engineering, Procurement & Construction",January 2022,Baleshwar,Odisha,01 Dec 2010,Date of announcement,2016-02-22,10696.5,8355.9,2340.6,Y,2022-01-31,Completed,2019-06-30,Y,946,2016-02-22
Talwandi Bhai-Firozpur (NH-05) Four Lane Highway Project,Substantial Expansion,3545.1,Completed,"Engineering, Procurement & Construction",February 2022,Firozpur,Punjab,01 Mar 2017,Date of announcement,2018-05-18,3545.1,3386.5,158.6,Y,2022-02-10,Completed,2021-01-14,Y,392,2018-02-28
Road approaches to Rail-cum Road Bridge across river Ganga on Munger Ghat (NH-333B) Project,New Unit,6960,Completed,"Engineering, Procurement & Construction",February 2022,Munger ghat,Bihar,01 Apr 2015,Date of announcement,2022-02-11,6960,1720,5240,Y,2022-02-11,Completed,2020-07-31,Y,560,2017-03-31
Barmer-Sanchore-Gujarat Border (upto Gandhav Bridge) (NH-15) Two/Four Lane Highway Project,Substantial Expansion,5380.8,Completed,"Engineering, Procurement & Construction",January 2019,Barmer,Rajasthan,15 Jan 2014,Date of announcement,2015-01-09,5380.8,3745.1,1635.7,Y,2022-02-12,Initial completion date,2017-07-31,Y,1657,2015-01-09
Narasannapeta-Ranastalam (NH-16) Six Laning Highway Project (Package-2),Substantial Expansion,14575.8,Completed,Hybrid Annuity,February 2022,Narasannapeta,Andhra Pradesh,17 Jan 2017,Date of announcement,2022-02-17,14575.8,13231.5,1344.3,Y,2022-02-17,Completed,2021-07-31,Y,201,2017-12-05
Hubli-Hospet NH-67 (Old NH-63) Four Laning Highway Project,Substantial Expansion,27222.6,Completed,"Engineering, Procurement & Construction",February 2022,Hospet,Karnataka,15 Apr 2012,Date of announcement,2022-02-28,27222.6,13330,13892.6,Y,2022-02-28,Completed,2019-08-31,Y,912,2016-08-08
Singhara-Binjabahal (NH-6) (New NH-49) Four Laning Highway Project,Substantial Expansion,14200,Completed,Hybrid Annuity,March 2022,Binjabahal,Odisha,11 Nov 2013,Date of announcement,2022-02-28,14200,10780,3420,Y,2022-03-03,Completed,2020-03-31,Y,702,2017-03-29
Ambience Mall & DLF Phase 2 (NH-48) Elevated U-Turns Project,New Unit,1619,Completed,"Engineering, Procurement & Construction",March 2022,Ambience mall,Haryana,01 Apr 2008,Date of announcement,2019-01-11,1619,970,649,Y,2022-03-09,Completed,2020-02-28,Y,740,2018-11-09
Dasna-Meerut Expressway (NH-58) (Package-4 of Delhi-Meerut Expressway) Project (Bharatmala),Substantial Expansion,33320,Completed,"Engineering, Procurement & Construction",March 2022,Dasna,Uttar Pradesh,30 Oct 2011,Date of announcement,2021-12-23,33320,16580,16740,Y,2022-03-17,Completed,2018-03-31,Y,1447,2018-01-31
Amra Marg-JNPT (NH-348A) Road Project (Bharatmala),Substantial Expansion,29360,Completed,"Engineering, Procurement & Construction",April 2022,Amra marg,Maharashtra,23 Aug 2011,Date of announcement,2022-04-03,29360,22600,6760,Y,2022-04-03,Completed,2014-11-30,Y,2681,2015-08-01
UP/Haryana Border-Rohna (Package-I) NH-334B Four Laning Highway Project (Meerut to Jhajjar),Substantial Expansion,10200,Completed,Hybrid Annuity,April 2022,Bahalgarh,Haryana,01 May 2017,Date of announcement,2021-03-25,10200,12636.5,-2436.5,N,2022-04-04,Completed,2022-01-31,Y,63,2019-02-28
Baharagora-Singhara (NH-6 & 49) Four Laning Highway Project,New Unit,12829.4,Completed,"Engineering, Procurement & Construction",April 2022,Baharagora,Jharkhand,01 Sep 2014,Date of announcement,2015-07-06,12829.4,9087.3,3742.1,Y,2022-04-06,Completed,2020-04-30,Y,706,2015-07-06
Kamakhyanagar Bypass-Duburi (NH-53) Four Lane Road Project,Substantial Expansion,7611.1,Completed,"Engineering, Procurement & Construction",April 2022,Duburi,Odisha,26 Oct 2017,Date of announcement,2019-02-05,7611.1,7611.1,0,N,2022-04-06,Completed,2021-08-31,Y,218,2018-01-31
Kalika Mata Mandir to Khote Nagar (Jalgaon City) (NH-53) Four Lane Road Project,Substantial Expansion,618.5,Completed,"Engineering, Procurement & Construction",April 2022,Jalgaon,Maharashtra,01 Jan 2017,Date of announcement,2022-04-22,618.5,692.6,-74.1,N,2022-04-22,Completed,2021-03-07,Y,411,2019-05-30
Lakhani (NH-53) Flyover project,New Unit,3120,Completed,"Engineering, Procurement & Construction",April 2022,Lakhani,Maharashtra,01 Jan 2018,Date of announcement,2022-04-29,3120,2700,420,Y,2022-04-29,Completed,2020-11-22,Y,523,2018-04-03
Sakoli (NH-53) Flyover Project,New Unit,2700,Completed,"Engineering, Procurement & Construction",May 2022,Sakoli,Maharashtra,30 Nov 2017,Date of announcement,2022-05-29,2700,2892.1,-192.1,N,2022-05-29,Completed,2020-05-22,Y,737,2018-03-29
Govindpur (Rajgunj)-Chas-West Bengal Border (NH-32) Two/Four Laning Highway Project,New Unit,11440,Completed,"Engineering, Procurement & Construction",June 2022,Chas,Jharkhand,22 Nov 2010,Date of announcement,2022-06-02,11440,2710,8730,Y,2022-06-02,Completed,2018-08-31,Y,1371,2016-07-19
Mahatma Gandhi Setu Revamp Project,Renovation & Modernisation,17420.1,Completed,"Engineering, Procurement & Construction",June 2022,Mahatma gandhi setu,Bihar,30 May 2010,Date of announcement,2016-06-22,17420.1,290,17130.1,Y,2022-06-07,Completed,2017-08-31,Y,1741,2016-10-07
Uniara-Nainwa-Hindoli-Jahajpur-Shahpura-Gulabpura (NH-148D) Two Lane Road Project,New Unit,7172,Completed,"Engineering, Procurement & Construction",June 2022,Gulabpura,Rajasthan,10 Sep 2012,Date of announcement,2018-02-28,7172,5707.4,1464.6,Y,2022-06-30,Completed,2017-10-30,Y,1704,2013-11-20
Karaikudi-Ramanathapuram (NH-210) Two-Laning Road  Project,New Unit,6530,Completed,"Engineering, Procurement & Construction",July 2022,Karaikudi,Tamil Nadu,03 Jan 2009,Date of announcement,2018-02-06,6530,5303.3,1226.7,Y,2022-07-05,Completed,2017-06-30,Y,1831,2014-10-27
Washim-Pangare (NH-161) Four Lane Highway project (Package-III),Substantial Expansion,10370.4,Completed,"Engineering, Procurement & Construction",July 2022,Pangare,Maharashtra,01 Apr 2018,Date of announcement,2022-07-05,10370.4,5733,4637.4,Y,2022-07-05,Completed,2021-05-14,Y,417,2019-02-25
Rajiv Chowk-Bhondsi (NH-248A) Six Laning Highway Project (Package-1 of Rajasthan Border-Nuh-Gurugram),Substantial Expansion,10000,Completed,Hybrid Annuity,July 2022,Bhondsi,Haryana,29 Jul 2016,Date of announcement,2022-07-07,10000,6955.8,3044.2,Y,2022-07-11,Completed,2021-07-31,Y,345,2018-03-06
Bathinda-Malout intersection (NH-7) Four Lane Highway Project,Substantial Expansion,4538.3,Completed,"Engineering, Procurement & Construction",April 2022,Bathinda,Punjab,31 Jan 2019,Date of announcement,2019-12-31,4538.3,4397.1,141.2,Y,2022-07-12,Initial completion date,2022-04-06,Y,97,2019-11-27
Four/Six-Lane Access Controlled Highway (NH-152D) starting from Junction with Rewari-Kanina road (SH-24) near Kanina to Narnaul Project (Package 8 of Ismailabad-Narnaul NH-152D) (Bharatmala),New Unit,10331.9,Completed,"Engineering, Procurement & Construction",January 2022,Kanina,Haryana,01 Jan 2018,Date of announcement,2019-12-31,10331.9,6072.7,4259.2,Y,2022-07-31,Initial completion date,2022-01-31,Y,181,2019-03-08
Junction with Jind-Safidon Road (SH-14) near Kheri village to Junction with NH-352 (Jind-Gohana section) near Julana Six Lane Access Controlled Highway Project (Package 4 of Ismailabad-Narnaul),New Unit,10187.9,Completed,"Engineering, Procurement & Construction",July 2022,Julana,Haryana,01 Jan 2018,Date of announcement,2019-08-26,10187.9,6510.7,3677.2,Y,2022-07-31,Initial completion date,2022-07-05,N,,2019-08-26
Junction with Kaithal-Safidon Road (SH-11) near Rajound to Junction with Jind-Safidon Road near Kheri village Four/Six Lane Access Control Highway Project (Pkg 3 Ismailabad-Narnaul) (Bharatmala),New Unit,8893.6,Completed,"Engineering, Procurement & Construction",July 2022,Kheri village,Haryana,01 Jan 2018,Date of announcement,2019-12-31,8893.6,5091.6,3802,Y,2022-07-31,Initial completion date,2022-07-05,N,,2019-12-02
Junction with Karnal-Pehowa Road (SH-9) near Dhand village to Junction with Kaithal-Safidon (SH-11) Road near Rajound Four/Six Lane Access Control Highway Project (Package 2 Ismailabad-Narnaul),New Unit,12434.5,Completed,"Engineering, Procurement & Construction",July 2022,Dhand,Haryana,01 Jan 2018,Date of announcement,2019-10-25,12434.5,7249.7,5184.8,Y,2022-07-31,Initial completion date,2022-07-30,N,,2019-10-25
Junction with NH-334B (Charkhi Dadri-Jhajjar section) to Junction with Rewari-Kanina Road (SH-24) Four/Six Lane Access Controlled Highway Project (Package 7 of Ismailabad-Narnaul NH-152D) (Bharatmala),New Unit,11374.2,Completed,"Engineering, Procurement & Construction",July 2022,Charkhi dadri,Haryana,01 Jan 2018,Date of announcement,2019-12-31,11374.2,7325.7,4048.5,Y,2022-07-31,Initial completion date,2022-07-05,N,,2019-03-08
Junction with NH-352 (Jind-Gohana) near Julana to Junction with NH-9 (Rohtak-Jind) near Kharkara Four/Six Lane Access Controlled Highway Project (Package 5 of Ismailabad-Narnaul) (Bharatmala),New Unit,10519.1,Completed,"Engineering, Procurement & Construction",July 2022,Julana,Haryana,01 Jan 2018,Date of announcement,2019-12-31,10519.1,6214.1,4305,Y,2022-07-31,Initial completion date,2022-07-05,N,,2019-03-01
Junction with NH-9 (Rohtak-Jind section) near Kharkara to Junction with NH-334B (Charkhi Dadri Jhajjar section) Four/Six Lane Access Controlled Highway Project (Pkg 6 of Ismailabad-Narnaul NH-152D),New Unit,11200.6,Completed,"Engineering, Procurement & Construction",July 2022,Charkhi dadri,Haryana,01 Jan 2018,Date of announcement,2019-12-31,11200.6,6538.5,4662.1,Y,2022-07-31,Initial completion date,2022-07-05,N,,2019-03-08
Ismailabad on NH-152 to Junction with Karnal-Pehowa Road Four/Six Lane Access Controlled Highway Project (Package 1 of Ismailabad-Narnaul NH-152D) (Bharatmala),New Unit,9966.5,Completed,"Engineering, Procurement & Construction",March 2022,Ismailabad,Haryana,01 Jan 2018,Date of announcement,2019-10-31,9966.5,5989.7,3976.8,Y,2022-07-31,Initial completion date,2022-03-03,Y,150,2019-10-31
Akola City (NH-53) Flyovers Project,New Unit,1639.8,Completed,"Engineering, Procurement & Construction",August 2022,Akola,Maharashtra,01 Mar 2015,Date of announcement,2018-10-12,1639.8,1758.9,-119.1,N,2022-08-01,Completed,2021-08-20,Y,346,2018-11-20
Rehabilitation and Up-gradation of Ambala-Saha (NH-444A) Four Lane Highway Project (Package-1),Substantial Expansion,1440,Completed,"Engineering, Procurement & Construction",August 2022,Ambala,Haryana,01 Jan 2017,Date of announcement,2019-07-24,1440,2200,-760,N,2022-08-01,Completed,2021-11-30,Y,244,2019-03-08
Jind-Gohana (NH-352A) Four Lane Highway Project (Package 1),Substantial Expansion,1325.5,Completed,Hybrid Annuity,April 2022,Gohana,Haryana,05 Jun 2006,Date of announcement,2022-04-04,1325.5,54.2,1271.3,Y,2022-08-31,Initial completion date,2022-04-04,Y,149,2019-03-08
Chennai-Tada (NH-16) Six laning Highway Project,Substantial Expansion,4646.2,Completed,Design Build Finance Operate Transfer,May 2022,Chennai,Tamil Nadu,07 Jun 2001,Date of announcement,2017-12-29,4646.2,3533.7,1112.5,Y,2022-08-31,Initial completion date,2011-05-31,Y,4110,2008-02-23
Junction at SH44 to Junction with Keshopura Road Eight Lane Carriageway Project (Package 5 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,13811.2,Completed,"Engineering, Procurement & Construction",September 2022,Alwar,Rajasthan,31 Mar 1998,Date of announcement,2019-03-31,13811.2,11506.7,2304.5,Y,2022-09-01,Completed,2021-12-31,Y,244,2019-03-09
Takoli-Kullu Section (NH-21) Four Laning Highway Project (Package-VI of Nerchowk-Kullu stretch),Substantial Expansion,7517.5,Completed,"Engineering, Procurement & Construction",September 2022,Kullu,Himachal Pradesh,15 Nov 2014,Date of announcement,2017-10-31,7517.5,4115.1,3402.4,Y,2022-09-01,Completed,2019-07-15,Y,1144,2016-11-08
Rampur-Kathgodam (NH-87) Four Lane Highway (Package-II) Project,Substantial Expansion,7200,Completed,Hybrid Annuity,September 2022,Kathgodam,Uttarakhand,15 Jul 2009,Date of announcement,2016-03-31,7200,5714.4,1485.6,Y,2022-09-01,Completed,2019-10-28,Y,1039,2011-12-19
Varanasi-Dagmagpur (NH-7) Four Lane Highway Project (Package-I),Substantial Expansion,12482.6,Completed,"Engineering, Procurement & Construction",September 2022,Dagmagpur,Uttar Pradesh,01 Apr 2016,Date of announcement,2021-08-02,12482.6,8719.8,3762.8,Y,2022-09-29,Completed,2020-09-30,Y,729,2018-02-28
Junction with Keshopura Road to Junction with NH-11 Road Eight Lane Carriageway Project (Package 6 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,11254.9,Completed,"Engineering, Procurement & Construction",October 2022,Dausa,Rajasthan,31 Mar 1998,Date of announcement,2019-03-09,11254.9,10530.6,724.3,Y,2022-10-01,Completed,2021-12-31,Y,274,2019-03-09
Nagpur-Umred (NH-353 D) Four Lane Highway Project,Substantial Expansion,7819.4,Completed,"Engineering, Procurement & Construction",October 2022,Nagpur,Maharashtra,08 Jan 2016,Date of announcement,2022-10-01,7819.4,4200,3619.4,Y,2022-10-01,Completed,2021-08-08,Y,419,2019-03-09
Dalkhola Four Lane Bypass Project,New Unit,1200,Completed,"Engineering, Procurement & Construction",November 2022,Dalkhola,West Bengal,31 Dec 2005,Date of announcement,2022-11-17,1200,750,450,Y,2022-11-17,Completed,2008-03-31,Y,5344,2017-08-08
Miyati Village-MP-Gujarat Border Eight Lane Carriageway Project (Package 25 of Delhi-Mumbai Expressway),Substantial Expansion,9960,Completed,"Engineering, Procurement & Construction",November 2022,Miyati village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,9960,9664.3,295.7,Y,2022-12-14,Initial completion date,2021-12-31,Y,348,2019-08-07
Ranni Village-Miyati Village Eight Lane Carriageway Project (Package 24 of Delhi-Mumbai Expressway),Substantial Expansion,8470,Completed,"Engineering, Procurement & Construction",November 2022,Miyati village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,8470,9216.3,-746.3,N,2022-12-14,Initial completion date,2021-12-31,Y,348,2019-08-07
Kamliya Village-Kandarwasa Village Eight Lane Carriageway Project (Package 21 of Delhi-Mumbai Expressway),Substantial Expansion,9910,Completed,"Engineering, Procurement & Construction",December 2022,Kamliya village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,9910,9196.3,713.7,Y,2022-12-20,Completed,2021-12-09,Y,376,2019-05-28
Package-2 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,8140.4,Completed,"Engineering, Procurement & Construction",August 2022,Deogarh,Rajasthan,01 Apr 2017,Date of announcement,2019-12-31,8140.4,4405.7,3734.7,Y,2022-12-31,Initial completion date,2022-08-01,Y,152,2019-06-03
